Date,Brand,GoldPrice
2025-03-24,SJC,91.7
2025-03-24,PNJ,92.24
2025-03-25,SJC,91.8
2025-03-25,PNJ,92.25
2025-03-26,SJC,92
2025-03-26,PNJ,92.32
2025-03-27,SJC,92.1
2025-03-27,PNJ,92.24
2025-03-28,SJC,92.2
2025-03-28,PNJ,92.41
2025-03-29,SJC,92.3
2025-03-29,PNJ,92.45
2025-03-30,SJC,92.4
2025-03-30,PNJ,92.52
2025-03-31,SJC,92.5
2025-03-31,PNJ,92.46
2025-04-01,SJC,86.26
2025-04-01,PNJ,88.8
2025-04-02,SJC,86.41
2025-04-02,PNJ,89
2025-04-03,SJC,86.67
2025-04-03,PNJ,89.3
2025-04-04,SJC,86.85
2025-04-04,PNJ,89.8
2025-04-05,SJC,87.09
2025-04-05,PNJ,90
2025-04-06,SJC,87.24
2025-04-06,PNJ,90.3
2025-04-07,SJC,87.36
2025-04-07,PNJ,90.5
2025-04-08,SJC,87.41
2025-04-08,PNJ,90.6
2025-04-09,SJC,87.66
2025-04-09,PNJ,90.2
2025-04-10,SJC,87.8
2025-04-10,PNJ,90
2025-04-11,SJC,87.96
2025-04-11,PNJ,87.8
2025-04-12,SJC,88.2
2025-04-12,PNJ,87.96
2025-04-13,SJC,88.34
2025-04-13,PNJ,88.2
2025-04-14,SJC,88.43
2025-04-14,PNJ,88.34
2025-04-15,SJC,86.8
2025-04-15,PNJ,88.43
2025-04-16,SJC,87
2025-04-16,PNJ,88.63
2025-04-17,SJC,87.2
2025-04-17,PNJ,88.88
2025-04-18,SJC,87.4
2025-04-18,PNJ,88.94
2025-04-19,SJC,87.5
2025-04-19,PNJ,89.22
2025-04-20,SJC,87.6
2025-04-20,PNJ,89.32
2025-04-21,SJC,87.8
2025-04-21,PNJ,89.48
2025-04-22,SJC,87.9
2025-04-22,PNJ,89.75
2025-04-23,SJC,88
2025-04-23,PNJ,89.93
2025-04-24,SJC,88.1
2025-04-24,PNJ,89.92
2025-04-25,SJC,88.2
2025-04-25,PNJ,85.4
2025-04-26,SJC,88.3
2025-04-26,PNJ,85.6
2025-04-27,SJC,88.5
2025-04-27,PNJ,85.7
2025-04-28,SJC,88.7
2025-04-28,PNJ,85.8
2025-04-29,SJC,88.8
2025-04-29,PNJ,86
2025-04-30,SJC,89
2025-04-30,PNJ,86.1
2025-05-01,SJC,92.22
2025-05-01,PNJ,90.13
2025-05-02,SJC,92.49
2025-05-02,PNJ,90.39
2025-05-03,SJC,92.85
2025-05-03,PNJ,90.77
2025-05-04,SJC,92.93
2025-05-04,PNJ,91.01
2025-05-05,SJC,92.97
2025-05-05,PNJ,91.13
2025-05-06,SJC,92.96
2025-05-06,PNJ,91.47
2025-05-07,SJC,92.84
2025-05-07,PNJ,91.7
2025-05-08,SJC,92.79
2025-05-08,PNJ,91.83
2025-05-09,SJC,92.78
2025-05-09,PNJ,91.98
2025-05-10,SJC,90
2025-05-10,PNJ,92.22
2025-05-11,SJC,91.5
2025-05-11,PNJ,92.49
2025-05-12,SJC,92.8
2025-05-12,PNJ,92.85
2025-05-13,SJC,93.5
2025-05-13,PNJ,92.93
2025-05-14,SJC,92.5
2025-05-14,PNJ,92.97
2025-05-15,SJC,91.8
2025-05-15,PNJ,92.96
2025-05-16,SJC,91
2025-05-16,PNJ,92.84
2025-05-17,SJC,90.2
2025-05-17,PNJ,92.79
2025-05-18,SJC,91.5
2025-05-18,PNJ,92.78
2025-05-19,SJC,92
2025-05-19,PNJ,92.69
2025-05-20,SJC,92.3
2025-05-20,PNJ,92.6
2025-05-21,SJC,92
2025-05-21,PNJ,91
2025-05-22,SJC,92.5
2025-05-22,PNJ,90.2
2025-05-23,SJC,93
2025-05-23,PNJ,91.5
2025-05-24,SJC,92.8
2025-05-24,PNJ,92
2025-05-25,SJC,92.5
2025-05-25,PNJ,92.3
2025-05-26,SJC,92
2025-05-26,PNJ,92
2025-05-27,SJC,91.5
2025-05-27,PNJ,92.5
2025-05-28,SJC,91.2
2025-05-28,PNJ,93
2025-05-29,SJC,92.45
2025-05-29,PNJ,92.8
2025-05-30,SJC,92.36
2025-05-30,PNJ,92.5
2025-05-31,SJC,92.32
2025-05-31,PNJ,92
2025-06-01,SJC,90.2
2025-06-01,PNJ,90.13
2025-06-02,SJC,91.5
2025-06-02,PNJ,90.39
2025-06-03,SJC,92
2025-06-03,PNJ,90.77
2025-06-04,SJC,92.3
2025-06-04,PNJ,91.01
2025-06-05,SJC,92
2025-06-05,PNJ,91.13
2025-06-06,SJC,92.5
2025-06-06,PNJ,91.47
2025-06-07,SJC,93
2025-06-07,PNJ,91.7
2025-06-08,SJC,92.8
2025-06-08,PNJ,91.83
2025-06-09,SJC,92.5
2025-06-09,PNJ,91.98
2025-06-10,SJC,92
2025-06-10,PNJ,92
2025-06-11,SJC,91.5
2025-06-11,PNJ,91.8
2025-06-12,SJC,91.2
2025-06-12,PNJ,91.6
2025-06-13,SJC,91.25
2025-06-13,PNJ,91.5
2025-06-14,SJC,91.29
2025-06-14,PNJ,91.4
2025-06-15,SJC,91.37
2025-06-15,PNJ,91.3
2025-06-16,SJC,91.38
2025-06-16,PNJ,91.5
2025-06-17,SJC,91.55
2025-06-17,PNJ,91.6
2025-06-18,SJC,91.48
2025-06-18,PNJ,91.7
2025-06-19,SJC,91.56
2025-06-19,PNJ,91.8
2025-06-20,SJC,91.65
2025-06-20,PNJ,92
2025-06-21,SJC,91.57
2025-06-21,PNJ,92.1
2025-06-22,SJC,91.75
2025-06-22,PNJ,92.2
2025-06-23,SJC,91.66
2025-06-23,PNJ,92.3
2025-06-24,SJC,91.73
2025-06-24,PNJ,92.4
2025-06-25,SJC,91.8
2025-06-25,PNJ,92.5
2025-06-26,SJC,91.93
2025-06-26,PNJ,91.38
2025-06-27,SJC,91.96
2025-06-27,PNJ,91.55
2025-06-28,SJC,92.04
2025-06-28,PNJ,91.48
2025-06-29,SJC,92.07
2025-06-29,PNJ,91.56
2025-06-30,SJC,92.18
2025-06-30,PNJ,91.65
2025-07-01,SJC,119.5
2025-07-01,PNJ,120
2025-07-02,SJC,120.3
2025-07-02,PNJ,120.7
2025-07-03,SJC,120.9
2025-07-03,PNJ,120.9
2025-07-04,SJC,121
2025-07-04,PNJ,121.3
2025-07-05,SJC,120.8
2025-07-05,PNJ,120.9
2025-07-06,SJC,121.2
2025-07-06,PNJ,120.9
2025-07-07,SJC,120.9
2025-07-07,PNJ,120.5
2025-07-08,SJC,121.1
2025-07-08,PNJ,121
2025-07-09,SJC,120.7
2025-07-09,PNJ,121
2025-07-10,SJC,120.9
2025-07-10,PNJ,120.8
2025-07-11,SJC,121.5
2025-07-11,PNJ,121.5
2025-07-12,SJC,121
2025-07-12,PNJ,121
2025-07-13,SJC,120.8
2025-07-13,PNJ,120.8
2025-07-14,SJC,121.6
2025-07-14,PNJ,121.5
2025-07-15,SJC,121.7
2025-07-15,PNJ,121.5
2025-07-16,SJC,120.9
2025-07-16,PNJ,121.1
2025-07-17,SJC,120.7
2025-07-17,PNJ,120.7
2025-07-18,SJC,120.5
2025-07-18,PNJ,120.5
2025-07-19,SJC,121.2
2025-07-19,PNJ,121
2025-07-20,SJC,121
2025-07-20,PNJ,121
2025-07-21,SJC,121.6
2025-07-21,PNJ,121.5
2025-07-22,SJC,121.3
2025-07-22,PNJ,121.5
2025-07-23,SJC,122
2025-07-23,PNJ,122
2025-07-24,SJC,122.8
2025-07-24,PNJ,122
2025-07-25,SJC,121.7
2025-07-25,PNJ,121.7
2025-07-26,SJC,121.2
2025-07-26,PNJ,121.7
2025-07-27,SJC,120.9
2025-07-27,PNJ,121.1
2025-07-28,SJC,121
2025-07-28,PNJ,121.1
2025-07-29,SJC,121.2
2025-07-29,PNJ,121.1
2025-07-30,SJC,121.4
2025-07-30,PNJ,121.5
2025-07-31,SJC,121.6
2025-07-31,PNJ,121.4
2025-08-01,SJC,121.4
2025-08-01,PNJ,121.4
2025-08-02,SJC,122
2025-08-02,PNJ,123.5
2025-08-03,SJC,122.5
2025-08-03,PNJ,123.5
2025-08-04,SJC,123.3
2025-08-04,PNJ,123.5
2025-08-05,SJC,123.6
2025-08-05,PNJ,123.3
2025-08-06,SJC,123.8
2025-08-06,PNJ,123.8
2025-08-07,SJC,124
2025-08-07,PNJ,123.8
2025-08-08,SJC,124.2
2025-08-08,PNJ,124.2
2025-08-09,SJC,124.3
2025-08-09,PNJ,124.4
2025-08-10,SJC,124.4
2025-08-10,PNJ,124.4
2025-08-11,SJC,124.5
2025-08-11,PNJ,123.9
2025-08-12,SJC,124.6
2025-08-12,PNJ,123.9
2025-08-13,SJC,124.7
2025-08-13,PNJ,123.9
2025-08-14,SJC,124.8
2025-08-14,PNJ,124.2
2025-08-15,SJC,125.1
2025-08-15,PNJ,124.5
2025-08-16,SJC,125.4
2025-08-16,PNJ,124.5
2025-08-17,SJC,125.8
2025-08-17,PNJ,124.5
2025-08-18,SJC,126.2
2025-08-18,PNJ,124.5
2025-08-19,SJC,126.6
2025-08-19,PNJ,125
2025-08-20,SJC,127
2025-08-20,PNJ,124.8
2025-08-21,SJC,127.4
2025-08-21,PNJ,124.8
2025-08-22,SJC,127.8
2025-08-22,PNJ,125.4
2025-08-23,SJC,128.2
2025-08-23,PNJ,126.6
2025-08-24,SJC,128.6
2025-08-24,PNJ,126.6
2025-08-25,SJC,129.1
2025-08-25,PNJ,126.9
2025-08-26,SJC,129.5
2025-08-26,PNJ,127.7
2025-08-27,SJC,130
2025-08-27,PNJ,127.7
2025-08-28,SJC,130.6
2025-08-28,PNJ,128.2
2025-08-29,SJC,131.2
2025-08-29,PNJ,128.9
2025-08-30,SJC,132
2025-08-30,PNJ,129.3
2025-08-31,SJC,121.6
2025-08-31,PNJ,130.6
2025-09-01,SJC,130.6
2025-09-01,PNJ,130.6
2025-09-02,SJC,133.4
2025-09-02,PNJ,130.6
2025-09-03,SJC,133.9
2025-09-03,PNJ,130.6
2025-09-04,SJC,134.4
2025-09-04,PNJ,133.4
2025-09-05,SJC,135.4
2025-09-05,PNJ,133.9
2025-09-06,SJC,135.1
2025-09-06,PNJ,134.4
2025-09-07,SJC,135.8
2025-09-07,PNJ,135.4
2025-09-08,SJC,135.1
2025-09-08,PNJ,135.1
2025-09-09,SJC,135.8
2025-09-09,PNJ,135.8
2025-09-10,SJC,135.3
2025-09-10,PNJ,135.3
2025-09-11,SJC,133.9
2025-09-11,PNJ,135
2025-09-12,SJC,132
2025-09-12,PNJ,132.8
2025-09-13,SJC,131.1
2025-09-13,PNJ,131.1
2025-09-14,SJC,131.1
2025-09-14,PNJ,131.1
2025-09-15,SJC,131.1
2025-09-15,PNJ,131.1
2025-09-16,SJC,132
2025-09-16,PNJ,132
2025-09-17,SJC,132.3
2025-09-17,PNJ,132.3
2025-09-18,SJC,132
2025-09-18,PNJ,132
2025-09-19,SJC,132
2025-09-19,PNJ,132
2025-09-20,SJC,133
2025-09-20,PNJ,133
2025-09-21,SJC,133
2025-09-21,PNJ,133
2025-09-22,SJC,133.6
2025-09-22,PNJ,133.6
2025-09-23,SJC,135
2025-09-23,PNJ,135
2025-09-24,SJC,134.5
2025-09-24,PNJ,135
2025-09-25,SJC,134.5
2025-09-25,PNJ,135.1
2025-09-26,SJC,135
2025-09-26,PNJ,134.5
2025-09-27,SJC,132.3
2025-09-27,PNJ,134.5
2025-09-28,SJC,136
2025-09-28,PNJ,135
2025-09-29,SJC,136.5
2025-09-29,PNJ,135
2025-09-30,SJC,137.8
2025-09-30,PNJ,137.3



